Diseases,Symptoms,,,,,,,,,,
Premenstrual Syndrome (PMS),mood swings, breast tenderness, bloating, fatigue, change in appetite,,,,,,
Premenstrual Syndrome (PMS), breast tenderness, bloating, fatigue, change in appetite,,,,,,,
Premenstrual Syndrome (PMS),mood swings, bloating, fatigue, change in appetite,,,,,,,
Premenstrual Syndrome (PMS),mood swings, breast tenderness, fatigue, change in appetite,,,,,,,
Premenstrual Syndrome (PMS),mood swings, breast tenderness, bloating, change in appetite,,,,,,,
Premenstrual Syndrome (PMS),mood swings, breast tenderness, bloating, fatigue,,,,,,,
Pulmonary embolism,shortness of breath, chest pain, rapid heart rate,,,,,,,,
Pulmonary embolism, chest pain, rapid heart rate,,,,,,,,,
Pulmonary embolism,shortness of breath, rapid heart rate,,,,,,,,,
Pulmonary embolism,shortness of breath, chest pain,,,,,,,,,
Rheumatoid Arthritis,joint pain, stiffness, fatigue, skin rashes, fever, swelling, dry eyes and mouth, anemia, muscle pain, loss of appetite,
Rheumatoid Arthritis, stiffness, fatigue, skin rashes, fever, swelling, dry eyes and mouth, anemia, muscle pain, loss of appetite,,
Rheumatoid Arthritis,joint pain, fatigue, skin rashes, fever, swelling, dry eyes and mouth, anemia, muscle pain, loss of appetite,,
Rheumatoid Arthritis,joint pain, stiffness, skin rashes, fever, swelling, dry eyes and mouth, anemia, muscle pain, loss of appetite,,
Rheumatoid Arthritis,joint pain, stiffness, fatigue, fever, swelling, dry eyes and mouth, anemia, muscle pain, loss of appetite,,
Rheumatoid Arthritis,joint pain, stiffness, fatigue, skin rashes, swelling, dry eyes and mouth, anemia, muscle pain, loss of appetite,,
Rheumatoid Arthritis,joint pain, stiffness, fatigue, skin rashes, fever, dry eyes and mouth, anemia, muscle pain, loss of appetite,,
Rheumatoid Arthritis,joint pain, stiffness, fatigue, skin rashes, fever, swelling, anemia, muscle pain, loss of appetite,,
Rheumatoid Arthritis,joint pain, stiffness, fatigue, skin rashes, fever, swelling, dry eyes and mouth, muscle pain, loss of appetite,,
Rheumatoid Arthritis,joint pain, stiffness, fatigue, skin rashes, fever, swelling, dry eyes and mouth, anemia, loss of appetite,,
Rheumatoid Arthritis,joint pain, stiffness, fatigue, skin rashes, fever, swelling, dry eyes and mouth, anemia, muscle pain,,
Sexually transmitted diseases(STDs),abnormal vaginal discharge, pain or burning during urination, genital itching, sores, warts, pain in lower abdomen,,,,,
Sexually transmitted diseases(STDs), pain or burning during urination, genital itching, sores, warts, pain in lower abdomen,,,,,,
Sexually transmitted diseases(STDs),abnormal vaginal discharge, genital itching, sores, warts, pain in lower abdomen,,,,,,
Sexually transmitted diseases(STDs),abnormal vaginal discharge, pain or burning during urination, sores, warts, pain in lower abdomen,,,,,,
Sexually transmitted diseases(STDs),abnormal vaginal discharge, pain or burning during urination, genital itching, warts, pain in lower abdomen,,,,,,
Sexually transmitted diseases(STDs),abnormal vaginal discharge, pain or burning during urination, genital itching, sores, pain in lower abdomen,,,,,,
Sexually transmitted diseases(STDs),abnormal vaginal discharge, pain or burning during urination, genital itching, sores, warts,,,,,,
Thyroid Disorders,fatigue, weight changes, changes in menstrual cycle, hair loss, mood swings," changes in skin, hair, or nails",,,,,
Thyroid Disorders, weight changes, changes in menstrual cycle, hair loss, mood swings," changes in skin, hair, or nails",,,,,,
Thyroid Disorders,fatigue, changes in menstrual cycle, hair loss, mood swings," changes in skin, hair, or nails",,,,,,
Thyroid Disorders,fatigue, weight changes, hair loss, mood swings," changes in skin, hair, or nails",,,,,,
Thyroid Disorders,fatigue, weight changes, changes in menstrual cycle, mood swings," changes in skin, hair, or nails",,,,,,
Thyroid Disorders,fatigue, weight changes, changes in menstrual cycle, hair loss," changes in skin, hair, or nails",,,,,,
Thyroid Disorders,fatigue, weight changes, changes in menstrual cycle, hair loss, mood swings,,,,,,
Urinary Tract Infection (UTI),pain or burning during urination, frequent urination, cloudy or strong-smelling urine, pelvic pain, pain in lower abdomen,,,,,,
Urinary Tract Infection (UTI), frequent urination, cloudy or strong-smelling urine, pelvic pain, pain in lower abdomen,,,,,,,
Urinary Tract Infection (UTI),pain or burning during urination, cloudy or strong-smelling urine, pelvic pain, pain in lower abdomen,,,,,,,
Urinary Tract Infection (UTI),pain or burning during urination, frequent urination, pelvic pain, pain in lower abdomen,,,,,,,
Urinary Tract Infection (UTI),pain or burning during urination, frequent urination, cloudy or strong-smelling urine, pain in lower abdomen,,,,,,,
Urinary Tract Infection (UTI),pain or burning during urination, frequent urination, cloudy or strong-smelling urine, pelvic pain,,,,,,,
Uterine cancer,abnormal vaginal bleeding, pelvic pain, pelvic pressure, discomfort during intercourse,,,,,,,
Uterine cancer, pelvic pain, pelvic pressure, discomfort during intercourse,,,,,,,,
Uterine cancer,abnormal vaginal bleeding, pelvic pressure, discomfort during intercourse,,,,,,,,
Uterine cancer,abnormal vaginal bleeding, pelvic pain, discomfort during intercourse,,,,,,,,
Uterine cancer,abnormal vaginal bleeding, pelvic pain, pelvic pressure,,,,,,,,
Uterine Fibroids,heavy menstrual bleeding, pelvic pain, pelvic pressure, frequent urination, back pain, leg pains, constipation,,,,
Uterine Fibroids, pelvic pain, pelvic pressure, frequent urination, back pain, leg pains, constipation,,,,,
Uterine Fibroids,heavy menstrual bleeding, pelvic pressure, frequent urination, back pain, leg pains, constipation,,,,,
Uterine Fibroids,heavy menstrual bleeding, pelvic pain, frequent urination, back pain, leg pains, constipation,,,,,
Uterine Fibroids,heavy menstrual bleeding, pelvic pain, pelvic pressure, back pain, leg pains, constipation,,,,,
Uterine Fibroids,heavy menstrual bleeding, pelvic pain, pelvic pressure, frequent urination, leg pains, constipation,,,,,
Uterine Fibroids,heavy menstrual bleeding, pelvic pain, pelvic pressure, frequent urination, back pain, constipation,,,,,
Uterine Fibroids,heavy menstrual bleeding, pelvic pain, pelvic pressure, frequent urination, back pain, leg pains,,,,,
Vaginal cancer,abnormal vaginal bleeding, pain during intercourse, pelvic pain, pelvic pressure, changes in bowel habits, changes in urinary habits, vaginal lumps or growths,,,,
Vaginal cancer, pain during intercourse, pelvic pain, pelvic pressure, changes in bowel habits, changes in urinary habits, vaginal lumps or growths,,,,,
Vaginal cancer,abnormal vaginal bleeding, pelvic pain, pelvic pressure, changes in bowel habits, changes in urinary habits, vaginal lumps or growths,,,,,
Vaginal cancer,abnormal vaginal bleeding, pain during intercourse, pelvic pressure, changes in bowel habits, changes in urinary habits, vaginal lumps or growths,,,,,
Vaginal cancer,abnormal vaginal bleeding, pain during intercourse, pelvic pain, changes in bowel habits, changes in urinary habits, vaginal lumps or growths,,,,,
Vaginal cancer,abnormal vaginal bleeding, pain during intercourse, pelvic pain, pelvic pressure, changes in urinary habits, vaginal lumps or growths,,,,,
Vaginal cancer,abnormal vaginal bleeding, pain during intercourse, pelvic pain, pelvic pressure, changes in bowel habits, vaginal lumps or growths,,,,,
Vaginal cancer,abnormal vaginal bleeding, pain during intercourse, pelvic pain, pelvic pressure, changes in bowel habits, changes in urinary habits,,,,,
Vaginal infections,abnormal vaginal discharge, itching, painful urination, unpleasant odor,,,,,,,
Vaginal infections, itching, painful urination, unpleasant odor,,,,,,,,
Vaginal infections,abnormal vaginal discharge, painful urination, unpleasant odor,,,,,,,,
Vaginal infections,abnormal vaginal discharge, itching, unpleasant odor,,,,,,,,
Vaginal infections,abnormal vaginal discharge, itching, painful urination,,,,,,,,
Vulvar cancer,itching, burning, tenderness in vulvar area, changes in vulvar skin, pain during intercourse,,,,,,
Vulvar cancer, burning, tenderness in vulvar area, changes in vulvar skin, pain during intercourse,,,,,,,
Vulvar cancer,itching, tenderness in vulvar area, changes in vulvar skin, pain during intercourse,,,,,,,
Vulvar cancer,itching, burning, changes in vulvar skin, pain during intercourse,,,,,,,
Vulvar cancer,itching, burning, tenderness in vulvar area, pain during intercourse,,,,,,,
Vulvar cancer,itching, burning, tenderness in vulvar area, changes in vulvar skin,,,,,,,
Yeast Infections,itching, burning, abnormal vaginal discharge, pain during sex, irritability,,,,,,
Yeast Infections, burning, abnormal vaginal discharge, pain during sex, irritability,,,,,,,
Yeast Infections,itching, abnormal vaginal discharge, pain during sex, irritability,,,,,,,
Yeast Infections,itching, burning, pain during sex, irritability,,,,,,,
Yeast Infections,itching, burning, abnormal vaginal discharge, irritability,,,,,,,
Yeast Infections,itching, burning, abnormal vaginal discharge, pain during sex,,,,,,,
